A,B,C,D,E,outcome
1.979006754309037,-35.2919830579845,0.5214570082644285,-0.4636763284160636,-0.12848511218502576,0
9.51735214082503,-30.414816567733503,2.069047619536652,2.0744419655753528,-4.51480821935137,0
-30.045410247648366,42.04944764258658,6.145477571231439,0.34594605527699795,1.6030648329942179,1
-39.33598172708974,21.846115837659447,2.345316550574035,-0.8200143492121628,2.5050576637599016,0
-51.97065280908074,-8.012554679162582,-1.1799798802381902,-2.4732229838376147,-0.4863096729976564,1
-42.625883896314186,-5.2276425048286885,-5.162499752788944,-3.607516079677157,1.8233248285950043,1
-36.90166794022712,-38.693408659974104,2.4189170261781143,1.190920208206779,0.28325017482221804,1
-6.6467951161484615,-81.87720361252035,3.5951117869427316,5.729950565958457,0.33024270727379507,0
20.83097803042851,-32.34793305108088,0.3177950920452354,3.5231042616572603,-2.553004197157421,1
-82.60902336722638,55.254220104909635,-4.8787194772731315,-4.804593778505236,-1.6418822144453982,1
13.196962352742338,34.17396653175379,19.09644651391072,-9.727315438896103,-4.936553450392142,0
-26.393338339929226,-41.59962144556062,4.126106189668848,-1.7947714071413747,-1.7878344428395285,0
-87.57355382153828,36.97210861573286,-6.1791634217805615,-10.299490315130944,2.335076505229004,1
-42.07327293594461,-15.020683673078626,-3.3220807202031675,11.853741490834363,0.06422195017650956,1
-119.49175599717199,88.02536358746596,-9.637104770440732,-22.385950459605414,3.2378615524484333,0
23.789576942395833,-34.14063706297357,10.241142940373281,1.9862580889653985,-4.262738643648259,0
15.64255765109138,128.1068726800853,28.16463230879925,30.69439333142736,8.918444834462253,1
-31.70616315383011,-44.811188493625636,2.910305420595007,-1.9160057860643998,0.7551550489345258,0
-72.37930713458124,29.91281600599075,-5.963753468459019,-4.513285080959439,0.374299180980684,0
41.09162309143046,26.026602789999856,-18.757956538036794,9.163137656608487,-0.39210223573472053,1
-0.652799934427994,2.610734716904666,10.787254969370942,-3.5732174575656575,-5.2982186342574975,0
121.37543841594086,14.562595357884977,-25.086098239985468,-2.365170393546222,-2.6374326294988646,1
-49.39497044116925,-32.668267280053605,-0.7318701516917548,0.631368173007164,4.327223019570339,1
35.18119359366894,-47.06754027098002,-1.904202107414539,-0.5880817093196546,2.1761477260062887,0
86.16320592514202,-32.78181043715754,-35.710427626312516,-2.792074114936047,2.2122166487521446,1
12.570389361650047,-2.0809111198672188,-0.5196652521156297,12.682787507709781,4.517997576517166,1
-4.688260193789246,36.58295153664016,14.675118662455926,2.8270721789411843,1.6623189905522002,0
162.7069323617639,188.43718365671762,-50.12858384106782,25.175704699539036,5.2504238193862545,1
-35.70738358869338,2.0851891527221222,0.8556939917248608,-0.021722735379831066,0.28256601045911944,0
-101.62678802203118,66.11706034332634,-8.301620383897315,19.93637617065428,-3.2316842873536187,1
-7.044449976448561,-66.00810458644656,-7.426620641282146,1.3535518828937705,2.8722157710528524,0
-53.69873557110534,-18.334512928811762,-2.314290622400415,-5.525032760157865,2.2340835176572997,1
71.74931007292254,154.6289900086721,-26.05212111130613,28.65873235211906,-1.6445768017345161,1
143.04657305060988,10.264883416497064,-25.771052405236635,-6.729469187706713,2.201221369625707,0
-57.314129104872194,31.12503539716341,-1.4376001794434015,3.638824775387277,-2.269913102469947,1
-49.7973596610433,-41.34779845197756,-1.944103641579582,-1.597413194655161,3.0313468168739033,0
18.655924160260412,-76.55092053184107,-7.513094024353771,1.8626403326010854,2.0144891164086167,1
-70.08508767922575,40.82833001644761,-3.6481162841498604,1.377638922802272,-0.5815378796138447,1
